nid,ngram,dm_to_dm, d_to_dm, dm_to_d, d_to_d, ngram_occur_num,total_paper_num, meme_score
1,planar,145,1994,401,26331,630,28325,0.10526791821876812
2,polymer-based,10,277,50,28048,72,28325,0.04804818921690143
3,devices,8108,15733,2091,12592,11813,28325,1.2925018489369058
4,optical,7742,15965,2221,12360,11573,28325,1.101203958698175
5,chip-on-flex,0,0,2,28325,2,28325,0.0
6,packaging optoelectronic,2,35,16,28290,20,28325,0.05533907235222351
7,optoelectronic devices polymer-based,0,2,1,28323,1,28325,0.0
8,optoelectronic,17608,21989,1336,6336,22191,28325,2.9695622408977576
10,polymer-based planar,0,1,0,28324,1,28325,0.0
11,optical interconnects,95,673,94,27652,218,28325,0.30836523715884373
12,planar optical interconnects,0,0,1,28325,1,28325,0.0
14,packaging optoelectronic devices,0,21,7,28304,8,28325,0.0
15,interconnects,173,1037,136,27288,359,28325,0.41394433459953467
16,planar optical,3,51,16,28274,21,28325,0.061299453399606685
17,packaging,107,513,118,27812,284,28325,0.4779430949295609
18,optoelectronic devices,4356,11432,2062,16893,7463,28325,0.8212191537109808
20,devices polymer-based,0,2,1,28323,1,28325,0.0
21,chip-on-flex packaging,0,0,1,28325,1,28325,0.0
22,interconnects bare,0,0,1,28325,1,28325,0.0
23,results evaluate performance,0,0,1,28325,1,28325,0.0
24,novel optodic bonding,1,1,1,28324,2,28325,0.12500882612533099
25,establish,1,460,135,27865,160,28325,0.002463745185200411
26,performance active,0,16,7,28309,7,28325,0.0
27,ensure flexibility,0,0,1,28325,1,28325,0.0
28,developed novel optodic,0,0,1,28325,1,28325,0.0
29,characterization results evaluate,0,0,1,28325,1,28325,0.0
30,different concepts,0,6,2,28319,2,28325,0.0
31,strongly,159,2860,674,25465,960,28325,0.07080815253674007
32,evaluate performance cof,0,0,1,28325,1,28325,0.0
33,low,1741,8466,1987,19859,4308,28325,0.31206302604193303
34,cof packages,0,0,1,28325,1,28325,0.0
35,previously developed,2,4,12,28321,16,28325,0.30475114529483466
36,optical interconnects presented,1,32,4,28293,6,28325,0.024464722517427095
37,different concepts thermomanagement,0,0,1,28325,1,28325,0.0
38,edge-emitting laser,2,16,5,28309,8,28325,0.10521484647187251
39,cof,11,34,5,28291,16,28325,0.5939438467593807
40,concepts thermomanagement implemented,0,0,1,28325,1,28325,0.0
41,employed,101,1720,675,26605,898,28325,0.07293316364056926
42,concept chip-on-flex,0,0,1,28325,1,28325,0.0
43,burden responsibilities terms,0,0,1,28325,1,28325,0.0
44,carrier,1102,5769,1086,22556,2475,28325,0.34558312007561787
45,applications,5395,13418,2273,14907,8750,28325,0.8134860181584517
46,ensuring,2,43,33,28282,40,28325,0.0482409574853644
47,chip-on-flex cof packaging,0,0,1,28325,1,28325,0.0
48,impaired,1,54,21,28271,29,28325,0.021160661288407833
49,light sources/detectors,0,0,1,28325,1,28325,0.0
50,promising candidates carrier,0,0,1,28325,1,28325,0.0
51,active diode,0,0,1,28325,1,28325,0.0
52,optical signals cost-effective,0,0,1,28325,1,28325,0.0
53,consisting light,0,6,3,28319,3,28325,0.0
54,extremely low thermal,0,0,2,28325,2,28325,0.0
55,sources/detectors employed,0,0,1,28325,1,28325,0.0
56,coupling transmission optical,0,0,1,28325,1,28325,0.0
57,sensing functions,0,0,2,28325,2,28325,0.0
58,desired coupling transmission,0,0,1,28325,1,28325,0.0
59,optical transparency desired,0,0,1,28325,1,28325,0.0
60,aim,52,695,279,27630,391,28325,0.10077056384159809
61,substrates,987,4455,1023,23870,2420,28325,0.44013121756873524
62,characterization results,0,16,21,28309,23,28325,0.0
63,candidates carrier,0,0,1,28325,1,28325,0.0
64,developed novel,0,25,19,28300,21,28325,0.0
65,inefficient heat,0,0,2,28325,2,28325,0.0
66,terms mechanical electrical,0,0,1,28325,1,28325,0.0
67,mechanical flexibility systems,0,0,1,28325,1,28325,0.0
68,diode using,0,69,10,28256,12,28325,0.0
69,budgets continuously growing,0,0,1,28325,1,28325,0.0
70,optical interconnects consisting,0,0,1,28325,1,28325,0.0
71,daily routine,0,0,1,28325,1,28325,0.0
72,work,1140,5727,1991,22598,3527,28325,0.28079428982084487
73,dissipation extremely,0,0,1,28325,1,28325,0.0
74,demanding fields sensing,0,0,1,28325,1,28325,0.0
75,signals,269,1656,388,26669,757,28325,0.2956042542661841
76,devices integrated,1,236,33,28089,41,28325,0.004726026975691841
77,interconnects bare chips,0,0,1,28325,1,28325,0.0
78,penetrating daily,1,1,1,28324,2,28325,0.12500882612533099
79,performance,2219,8621,1765,19704,4471,28325,0.45271153631231964
80,thermo-optical opto-electronic,0,0,1,28325,1,28325,0.0
81,cost-effective,29,577,191,27748,250,28325,0.06312726908763341
82,challenge,66,1481,320,26844,436,28325,0.05690099304055749
83,edge-emitting,4,67,19,28258,29,28325,0.07515448011829298
84,extremely low,6,300,63,28025,79,28325,0.02345384052968404
85,coupling transmission,0,0,2,28325,2,28325,0.0
86,signals cost-effective transparent,0,0,1,28325,1,28325,0.0
87,optical sensing functions,0,0,2,28325,2,28325,0.0
88,budgets continuously,0,0,1,28325,1,28325,0.0
89,cof packaging optoelectronic,0,0,1,28325,1,28325,0.0
90,circuits increasingly penetrating,0,0,1,28325,1,28325,0.0
91,structure ensure,0,1,2,28324,2,28325,0.0
92,ensure,2,298,85,28027,108,28325,0.008069706930520986
93,operating,143,2175,466,26150,747,28325,0.09655561100516379
94,fields sensing engineering,0,0,1,28325,1,28325,0.0
95,extremely,55,1687,352,26638,463,28325,0.03992171839562682
96,packages optical performance,0,0,1,28325,1,28325,0.0
97,transparency,215,1368,316,26957,620,28325,0.2901028403262772
98,ensure flexibility interconnects,0,0,1,28325,1,28325,0.0
99,terms mechanical,0,0,2,28325,2,28325,0.0
100,optodic bonding,1,1,3,28324,4,28325,0.16667843483377465
101,addressing challenge,1,2,2,28323,3,28325,0.12000423654015888
102,mechanical electrical thermo-optical,0,0,1,28325,1,28325,0.0
103,fields sensing,0,0,5,28325,5,28325,0.0
104,transparency desired coupling,0,0,1,28325,1,28325,0.0
105,films,3049,8336,1231,19989,5096,28325,1.0657222542455564
106,burden responsibilities,0,0,1,28325,1,28325,0.0
107,functions,130,2403,455,25922,690,28325,0.07450410269358151
108,impaired inefficient,0,0,1,28325,1,28325,0.0
109,optical optoelectronic devices,16,258,53,28067,81,28325,0.08787168639863652
110,presented multiand single-mode,0,0,1,28325,1,28325,0.0
111,flexibility interconnects,0,0,1,28325,1,28325,0.0
112,promising candidates,33,820,225,27505,283,28325,0.048334228438772615
113,achieve,177,2932,708,25393,995,28325,0.07566831108993553
114,cost-effective transparent,1,4,3,28321,5,28325,0.11904341613079476
115,bare chips,0,0,4,28325,4,28325,0.0
116,edge-emitting laser diode,1,4,1,28321,3,28325,0.10713907451771529
117,cof packaging,0,0,1,28325,1,28325,0.0
118,budgets,0,10,6,28315,7,28325,0.0
119,packages,17,114,41,28211,74,28325,0.24340912005519244
120,single-mode,51,534,90,27791,170,28325,0.1703503373168335
121,bonding,116,1062,323,27263,517,28325,0.16627725117356912
122,achieve miniaturized structure,0,0,1,28325,1,28325,0.0
123,ensuring mechanical,0,0,1,28325,1,28325,0.0
124,short-distance,5,80,13,28245,20,28325,0.07509650251491402
125,thermal stability,87,861,292,27464,431,28325,0.14265995191340755
126,desired coupling,0,0,1,28325,1,28325,0.0
127,elaborate,1,379,30,27946,35,28325,0.002739599616260291
128,different,1824,8181,2503,20144,4946,28325,0.31287634282423066
129,miniaturized structure,0,0,1,28325,1,28325,0.0
130,demanding fields,0,2,2,28323,2,28325,0.0
131,optoelectronic devices integrated,0,93,14,28232,18,28325,0.0
132,films optical,0,63,30,28262,37,28325,0.0
133,mechanical strength,3,56,40,28269,47,28325,0.0554734605682327
134,transmission optical signals,0,38,2,28287,2,28325,0.0
135,laser diode,74,417,118,27908,227,28325,0.3257079764761703
136,connection thermal stability,0,0,1,28325,1,28325,0.0
137,circuits,355,2589,421,25736,926,28325,0.27180674973206037
138,results evaluate,0,0,1,28325,1,28325,0.0
139,stability,853,4439,1013,23886,2066,28325,0.32933291491895483
140,results,3794,11900,2948,16425,7862,28325,0.4925150416309109
141,novel,1167,6972,1581,21353,3098,28325,0.246719157830236
142,connection,7,186,102,28139,128,28325,0.04485821070934339
143,increasingly penetrating daily,1,1,1,28324,2,28325,0.12500882612533099
144,conductivity,697,3427,746,24898,1681,28325,0.4009326491093307
145,concepts thermomanagement,0,0,1,28325,1,28325,0.0
146,penetrating,1,3,6,28322,7,28325,0.12962962962962965
147,chip-on-flex cof,0,0,1,28325,1,28325,0.0
148,stability optical performance,0,0,1,28325,1,28325,0.0
149,performance cof packages,0,0,1,28325,1,28325,0.0
150,lower,322,3500,975,24825,1513,28325,0.12464866335409978
151,growing,38,1162,306,27163,394,28325,0.0398888202179553
152,variety applications use,0,0,1,28325,1,28325,0.0
153,work aim,0,2,2,28323,3,28325,0.0
154,prototypes planar optical,0,0,1,28325,1,28325,0.0
155,interconnects presented,1,36,4,28289,7,28325,0.02561115260144386
156,work aim establish,0,0,1,28325,1,28325,0.0
